time-since-start [s],throttle_mpc,roll_mpc,pitch_mpc,yaw_mpc,throttle_nw,roll_nw,pitch_nw,yaw_nw,position_x [m],position_y [m],position_z [m],rotation_w [quaternion],rotation_x [quaternion],rotation_y [quaternion],rotation_z [quaternion],velocity_x [m/s],velocity_y [m/s],velocity_z [m/s],omega_x [rad/s],omega_y [rad/s],omega_z [rad/s],network_used
0.0,10.9808699449262,5.9999997978308794,-5.99999992705688,-3.55722879946918,14.62373,-1.4605925,-5.081748,1.0108322,16.427908,-10.433682,2.219563,0.12565067,-0.4000597,0.33828384,0.84245366,-12.4194355,-2.4938538,0.37275848,2.1962318,-0.07443921,-0.97920495,0
0.01,10.9808699449262,5.9999997978308794,-5.99999992705688,-3.55722879946918,12.743914,0.9535908,-5.741414,1.7793819,16.30327,-10.45811,2.2231405,0.13505799,-0.39896098,0.34559268,0.83854353,-12.507739,-2.3916075,0.3423069,2.3593864,-0.5690723,-1.0672691,0
0.02,10.9808699449262,5.9999997978308794,-5.99999992705688,-3.55722879946918,12.743914,0.9535908,-5.741414,1.7793819,16.177769,-10.481515,2.2264,0.14596494,-0.39584035,0.35305494,0.83507895,-12.591759,-2.289224,0.30920482,2.5340924,-1.0236148,-1.154322,0
0.03,10.9808699449262,5.9999997978308794,-5.99999992705688,-3.55722879946918,12.743914,0.9535908,-5.741414,1.7793819,16.051449,-10.503894,2.2293172,0.15832588,-0.39083076,0.36069754,0.8319143,-12.67104,-2.1866047,0.27393556,2.7173305,-1.4430962,-1.2403042,0
0.04,10.9808699449262,5.9999997978308794,-5.99999992705688,-3.55722879946918,15.523748,1.1556852,-6.0480423,1.6270441,15.924363,-10.525246,2.2318728,0.17209058,-0.38404006,0.36852965,0.8289052,-12.745171,-2.0836926,0.23690456,2.906624,-1.8318338,-1.3251655,0
0.05,10.9808699449262,5.9999997978308794,-5.99999992705688,-3.55722879946918,15.523748,1.1556852,-6.0480423,1.6270441,15.796563,-10.545567,2.2340505,0.18720417,-0.3755554,0.37654567,0.8259092,-12.813779,-1.9804747,0.19844946,3.0999491,-2.1935387,-1.4088641,0
0.060000000000000005,10.9808699449262,5.9999997978308794,-5.99999992705688,-3.55722879946918,15.523748,1.1556852,-6.0480423,1.6270441,15.668107,-10.564854,2.235838,0.20360711,-0.3654473,0.38472763,0.82278615,-12.876523,-1.8769883,0.15884835,3.295657,-2.5314028,-1.4913657,0
0.07,10.9808699449262,5.9999997978308794,-5.99999992705688,-3.55722879946918,15.523748,1.1556852,-6.0480423,1.6270441,15.539054,-10.583106,2.2372243,0.22123508,-0.353773,0.393047,0.8193984,-12.933092,-1.7733212,0.11832707,3.4924102,-2.8481755,-1.5726423,0
0.08,14.11834306292298,5.999999895267246,-5.999999959315176,-3.107436913399872,16.109436,1.0886023,-7.1406984,1.4975151,15.409468,-10.600322,2.2382016,0.2400188,-0.3405792,0.40146622,0.8156112,-12.983204,-1.6696131,0.07706529,3.6891313,-3.1462274,-1.6526723,0
0.09,14.11834306292298,5.999999895267246,-5.999999959315176,-3.107436913399872,16.109436,1.0886023,-7.1406984,1.4975151,15.279383,-10.616429,2.2388022,0.26013997,-0.32549584,0.41015598,0.8112655,-13.032531,-1.55184,0.042922527,4.0323324,-3.575271,-1.7225453,0
