time-since-start [s],throttle_mpc,roll_mpc,pitch_mpc,yaw_mpc,throttle_nw,roll_nw,pitch_nw,yaw_nw,position_x [m],position_y [m],position_z [m],rotation_w [quaternion],rotation_x [quaternion],rotation_y [quaternion],rotation_z [quaternion],velocity_x [m/s],velocity_y [m/s],velocity_z [m/s],omega_x [rad/s],omega_y [rad/s],omega_z [rad/s],network_used
0.0,9.839917592593979,5.64673952915089,-5.999998229681733,0.7991717702964141,9.298889,1.178121,-0.27097803,-0.5225294,10.022471,-11.367848,2.4576488,-0.4977861,0.15769222,-0.27725226,-0.80651927,-6.9211807,0.4292723,0.9779345,0.6509493,-0.11987326,-0.5448759,0
0.01,9.839917592593979,5.64673952915089,-5.999998229681733,0.7991717702964141,9.103521,1.6326984,-0.71742713,-0.05891213,9.953271,-11.363257,2.4673295,-0.50148773,0.15340143,-0.27960676,-0.8042376,-6.918691,0.48873457,0.9581948,1.4297569,-1.0370921,-0.47892314,0
0.02,9.839917592593979,5.64673952915089,-5.999998229681733,0.7991717702964141,9.103521,1.6326984,-0.71742713,-0.05891213,9.884102,-11.358073,2.476813,-0.50661504,0.1438177,-0.28275183,-0.8016914,-6.914628,0.5479907,0.93854374,2.0872238,-1.8111757,-0.41620666,0
0.03,9.839917592593979,5.64673952915089,-5.999998229681733,0.7991717702964141,9.103521,1.6326984,-0.71742713,-0.05891213,9.814986,-11.3523,2.4861014,-0.51283854,0.12973289,-0.28650624,-0.79879916,-6.908054,0.60666245,0.91915894,2.6422458,-2.4644692,-0.35656765,0
0.04,9.839917592593979,5.64673952915089,-5.999998229681733,0.7991717702964141,9.661852,2.0849926,-2.0034778,-0.03364557,9.745953,-11.345944,2.4951975,-0.51985264,0.11181294,-0.29070258,-0.7954515,-6.898188,0.66437954,0.90013266,3.110777,-3.0158277,-0.2998552,0
0.05,9.839917592593979,5.64673952915089,-5.999998229681733,0.7991717702964141,9.661852,2.0849926,-2.0034778,-0.03364557,9.677036,-11.339019,2.5041053,-0.52738017,0.090622984,-0.2951893,-0.7915307,-6.884384,0.72077096,0.88147,3.5062895,-3.481162,-0.24592566,0
0.060000000000000005,9.839917592593979,5.64673952915089,-5.999998229681733,0.7991717702964141,9.661852,2.0849926,-2.0034778,-0.03364557,9.60828,-11.331535,2.5128279,-0.5351742,0.06664723,-0.29983115,-0.78692305,-6.866119,0.7754625,0.863092,3.8401573,-3.873899,-0.19464244,0
0.07,9.839917592593979,5.64673952915089,-5.999998229681733,0.7991717702964141,9.661852,2.0849926,-2.0034778,-0.03364557,9.53973,-11.323516,2.5213675,-0.5430178,0.04030436,-0.30450884,-0.78152514,-6.8429785,0.82807785,0.8448427,4.121984,-4.205368,-0.14587569,0
0.08,10.678511569846663,5.267418447592979,-5.999997899313694,0.729283345941009,9.498529,1.3325796,-4.433868,-0.58930844,9.471437,-11.314981,2.5297246,-0.55072206,0.011959478,-0.30911794,-0.7752472,-6.8146515,0.8782417,0.82649726,4.359877,-4.485131,-0.09950194,0
0.09,10.678511569846663,5.267418447592979,-5.999997899313694,0.729283345941009,9.498529,1.3325796,-4.433868,-0.58930844,9.403469,-11.30594,2.5379303,-0.55813175,-0.017979836,-0.31345108,-0.7680587,-6.7780538,0.9296175,0.81454015,4.501517,-4.7212634,-0.058833204,0
