time-since-start [s],throttle_mpc,roll_mpc,pitch_mpc,yaw_mpc,throttle_nw,roll_nw,pitch_nw,yaw_nw,position_x [m],position_y [m],position_z [m],rotation_w [quaternion],rotation_x [quaternion],rotation_y [quaternion],rotation_z [quaternion],velocity_x [m/s],velocity_y [m/s],velocity_z [m/s],omega_x [rad/s],omega_y [rad/s],omega_z [rad/s],network_used
0.0,16.84289363376428,5.99999935959522,-5.999999857852842,-2.437358874902247,16.899328,-0.9860545,-3.3907137,-0.8149191,16.658035,-10.491577,1.3071088,-0.123516634,0.39882177,-0.23792987,-0.87696874,-8.7808275,-3.484091,-0.582589,1.3861026,-0.16205937,-0.108736776,0
0.01,16.84289363376428,5.99999935959522,-5.999999857852842,-2.437358874902247,9.363507,0.37474346,-4.8787537,-0.3974379,16.569605,-10.525913,1.3013461,-0.12798846,0.3958556,-0.24438815,-0.8758948,-8.904557,-3.3830502,-0.5704871,1.839076,-0.8061516,-0.19913779,0
0.02,16.84289363376428,5.99999935959522,-5.999999857852842,-2.437358874902247,9.363507,0.37474346,-4.8787537,-0.3974379,16.479965,-10.559238,1.2956886,-0.13448218,0.38995597,-0.25219214,-0.8753559,-9.022668,-3.2819138,-0.5614125,2.2756636,-1.404172,-0.28996056,0
0.03,16.84289363376428,5.99999935959522,-5.999999857852842,-2.437358874902247,9.363507,0.37474346,-4.8787537,-0.3974379,16.389174,-10.59155,1.2901096,-0.14291188,0.3812859,-0.26125997,-0.87518024,-9.134288,-3.1801257,-0.5547092,2.6960855,-1.96096,-0.38097492,0
0.04,16.84289363376428,5.99999935959522,-5.999999857852842,-2.437358874902247,11.498926,0.49605432,-4.921742,-0.48067835,16.297302,-10.622838,1.284588,-0.15318806,0.36997804,-0.2715007,-0.8751783,-9.238627,-3.077256,-0.54986227,3.1006942,-2.4807692,-0.47197694,0
0.05,16.84289363376428,5.99999935959522,-5.999999857852842,-2.437358874902247,11.498926,0.49605432,-4.921742,-0.48067835,16.204428,-10.6530905,1.2791073,-0.16521697,0.35614076,-0.2828157,-0.87514704,-9.334952,-2.973004,-0.5464889,3.489939,-2.9673398,-0.5627863,0
0.060000000000000005,16.84289363376428,5.99999935959522,-5.999999857852842,-2.437358874902247,11.498926,0.49605432,-4.921742,-0.48067835,16.110632,-10.682293,1.2736541,-0.17890005,0.33986422,-0.29509935,-0.87487334,-9.422575,-2.8672013,-0.5443288,3.8643367,-3.423969,-0.6532439,0
0.07,16.84289363376428,5.99999935959522,-5.999999857852842,-2.437358874902247,11.498926,0.49605432,-4.921742,-0.48067835,16.016,-10.710423,1.2682229,-0.19409657,0.3212794,-0.3082055,-0.874137,-9.502059,-2.7581332,-0.5416906,4.1970043,-3.8260798,-0.74079096,0
0.08,18.513805214497797,5.99999922986936,-5.9999998958772345,-2.6831884769538616,12.804486,0.6156095,-5.1270795,-0.0043072905,15.920618,-10.737442,1.2628254,-0.21056847,0.3006503,-0.32190087,-0.87272567,-9.573246,-2.644783,-0.5375912,4.4777923,-4.165479,-0.8240421,0
0.09,18.513805214497797,5.99999922986936,-5.9999998958772345,-2.6831884769538616,12.804486,0.6156095,-5.1270795,-0.0043072905,15.824537,-10.7632475,1.257527,-0.22811137,0.27824253,-0.3359578,-0.8704473,-9.641341,-2.5156705,-0.521856,4.714762,-4.4519787,-0.9152709,0
0.09999999999999999,18.513805214497797,5.99999922986936,-5.9999998958772345,-2.6831884769538616,12.804486,0.6156095,-5.1270795,-0.0043072905,15.72783,-10.78774,1.2523925,-0.24654283,0.25429145,-0.35017958,-0.86713696,-9.698349,-2.382397,-0.50483614,4.9147854,-4.693788,-1.0020231,0
0.10999999999999999,18.513805214497797,5.99999922986936,-5.9999998958772345,-2.6831884769538616,12.804486,0.6156095,-5.1270795,-0.0043072905,15.630611,-10.810883,1.2474335,-0.26567367,0.22899842,-0.36440495,-0.8626622,-9.743442,-2.2454674,-0.48683143,5.083628,-4.8978744,-1.0845186,0
0.11999999999999998,18.513805214497797,5.99999922986936,-5.9999998958772345,-2.6831884769538616,12.804486,0.6156095,-5.1270795,-0.0043072905,15.533005,-10.832641,1.2426581,-0.28533265,0.20254487,-0.37849474,-0.85691446,-9.775904,-2.1055186,-0.46821412,5.2261558,-5.0701175,-1.1629658,0
0.12999999999999998,20.563051872719836,4.122174831955108,-5.9999998734217534,-1.3808848378241971,14.6819725,0.053193517,-4.375255,0.1338465,15.435139,-10.852985,1.23807,-0.30536434,0.17509574,-0.39232892,-0.8498069,-9.795138,-1.9632995,-0.44941524,5.3464727,-5.215483,-1.2375636,0
0.13999999999999999,20.563051872719836,4.122174831955108,-5.9999998734217534,-1.3808848378241971,14.6819725,0.053193517,-4.375255,0.1338465,15.337145,-10.871822,1.2337334,-0.32536983,0.14697547,-0.40520057,-0.84163225,-9.801332,-1.8037878,-0.41796523,5.1554213,-5.3376975,-1.2445964,0
0.15,20.563051872719836,4.122174831955108,-5.9999998734217534,-1.3808848378241971,14.6819725,0.053193517,-4.375255,0.1338465,15.239164,-10.889061,1.2297087,-0.34504136,0.118473105,-0.41657132,-0.8326936,-9.792277,-1.643941,-0.387097,4.9941797,-5.440874,-1.2512841,0
0.16,20.160199842158022,1.6194671563841723,-5.006994658901627,0.25050633227303093,13.443493,-1.0620524,-3.1537306,0.12685315,15.141351,-10.904705,1.2259886,-0.3643651,0.08967822,-0.4265727,-0.8229406,-9.7680855,-1.4850028,-0.3570593,4.858097,-5.5279784,-1.2576437,0
0.17,20.160199842158022,1.6194671563841723,-5.006994658901627,0.25050633227303093,13.443493,-1.0620524,-3.1537306,0.12685315,15.04385,-10.918784,1.2225512,-0.3829128,0.06128204,-0.43467015,-0.81282455,-9.729801,-1.3312447,-0.33058172,4.353364,-5.4461064,-1.1836385,0
0.18000000000000002,20.160199842158022,1.6194671563841723,-5.006994658901627,0.25050633227303093,13.443493,-1.0620524,-3.1537306,0.12685315,14.946801,-10.931341,1.2193733,-0.40038007,0.033845223,-0.4405015,-0.8028127,-9.677779,-1.1807001,-0.30515698,3.9273143,-5.377117,-1.1132646,0
0.19000000000000003,20.160199842158022,1.6194671563841723,-5.006994658901627,0.25050633227303093,13.443493,-1.0620524,-3.1537306,0.12685315,14.850337,-10.942413,1.2164447,-0.41690755,0.0072564073,-0.4443949,-0.7928734,-9.612969,-1.034369,-0.28071433,3.567681,-5.3189793,-1.0463439,0
0.20000000000000004,19.039640357785732,0.1374776413776732,-3.400844556115762,0.5537091938960497,15.301429,-2.2598066,-1.3065562,0.27211502,14.754582,-10.952047,1.2137558,-0.4326049,-0.01858464,-0.4466215,-0.78296643,-9.536253,-0.8931002,-0.2572066,3.26411,-5.269983,-0.9827071,0
0.21000000000000005,19.039640357785732,0.1374776413776732,-3.400844556115762,0.5537091938960497,15.301429,-2.2598066,-1.3065562,0.27211502,14.659626,-10.960335,1.2112639,-0.44726402,-0.043022994,-0.44723186,-0.77336097,-9.453393,-0.7651232,-0.2413043,2.7769458,-4.978042,-0.9073147,0
0.22000000000000006,19.039640357785732,0.1374776413776732,-3.400844556115762,0.5537091938960497,15.301429,-2.2598066,-1.3065562,0.27211502,14.565547,-10.967371,1.2089273,-0.46075946,-0.065550424,-0.44631875,-0.76433176,-9.361262,-0.6429702,-0.2261226,2.3656898,-4.7317243,-0.83562183,0
0.23000000000000007,19.039640357785732,0.1374776413776732,-3.400844556115762,0.5537091938960497,15.301429,-2.2598066,-1.3065562,0.27211502,14.472429,-10.973216,1.2067397,-0.47327355,-0.086450145,-0.4441367,-0.7558311,-9.260976,-0.52686507,-0.2115039,2.018516,-4.523895,-0.76744694,0
0.24000000000000007,19.039640357785732,0.1374776413776732,-3.400844556115762,0.5537091938960497,14.601236,-3.4517372,0.17450432,0.38831416,14.380352,-10.977929,1.2046958,-0.48495087,-0.10596548,-0.4408907,-0.74780273,-9.153488,-0.41695958,-0.19730327,1.7254411,-4.3485355,-0.70261747,0
0.25000000000000006,19.039640357785732,0.1374776413776732,-3.400844556115762,0.5537091938960497,14.601236,-3.4517372,0.17450432,0.38831416,14.289382,-10.981575,1.2027925,-0.4959063,-0.12430441,-0.43674633,-0.74018747,-9.039622,-0.31335732,-0.1833945,1.4780358,-4.2005706,-0.64096916,0
