\begin{tabular}{lllllll}
\toprule
        Model & Num Runs & Flight Time [s] & Travel Distance [m] & Mean Error [m] & Gates Passed & \% Collision \\
\midrule
     ref+rvw  &      20  &      8.76 (0.0) &         90.69 (0.0) &     2.07 (0.0) &    6.0 (0.0) &      100.0  \\
 ref+rvw+fts  &      20  &     13.17 (0.0) &       136.23 (0.11) &    2.12 (0.04) &    9.0 (0.0) &        0.0  \\
 ref+rvw+ain  &      20  &     13.11 (0.0) &         138.0 (0.0) &     2.03 (0.0) &    9.0 (0.0) &        0.0  \\
 ref+rvw+abr  &      20  &     13.11 (0.0) &       137.26 (0.01) &     2.06 (0.0) &    9.0 (0.0) &        0.0  \\
         ref  &      20  &      2.76 (0.0) &         34.86 (0.0) &     2.18 (0.0) &    2.0 (0.0) &      100.0  \\
     ref+fts  &      20  &      2.95 (1.0) &         29.27 (9.3) &    2.53 (0.35) &   1.55 (0.5) &      100.0  \\
     ref+ain  &      20  &     1.21 (0.16) &         14.6 (2.84) &    2.24 (0.37) &    1.0 (0.0) &      100.0  \\
     ref+abr  &      20  &     3.33 (0.16) &        38.93 (0.52) &    2.44 (0.07) &    1.0 (0.0) &      100.0  \\
         rvw  &      20  &      6.45 (0.0) &         66.34 (0.0) &     2.16 (0.0) &    2.0 (0.0) &      100.0  \\
     rvw+fts  &      20  &    12.27 (1.79) &      127.15 (18.77) &    2.18 (0.25) &  8.45 (1.24) &       20.0  \\
     rvw+ain  &      20  &     9.46 (0.71) &         97.4 (6.88) &    2.35 (0.07) &    6.5 (0.5) &      100.0  \\
     rvw+abr  &      20  &      3.33 (0.0) &         33.08 (0.0) &     2.29 (0.0) &    2.0 (0.0) &      100.0  \\
\bottomrule
\end{tabular}
