\begin{tabular}{llllllllll}
\toprule
        Model & Num Runs & Throttle MSE & Throttle L1 & Roll MSE & Roll L1 & Pitch MSE & Pitch L1 & Yaw MSE &  Yaw L1 \\
\midrule
     ref+rvw  &       1  &       1.283  &      1.133  &   0.093  &  0.304  &    0.039  &   0.199  &  0.018  &  0.134  \\
 ref+rvw+fts  &       1  &       1.328  &      1.153  &   0.071  &  0.267  &    0.108  &   0.328  &  0.009  &  0.094  \\
 ref+rvw+ain  &       1  &       1.289  &      1.135  &   0.097  &  0.311  &    0.195  &   0.441  &  0.013  &  0.114  \\
 ref+rvw+abr  &       1  &       1.087  &      1.043  &   0.051  &  0.225  &    0.039  &   0.198  &  0.015  &  0.123  \\
         ref  &       1  &       1.083  &      1.041  &   0.364  &  0.604  &    0.158  &   0.398  &  0.025  &  0.158  \\
     ref+fts  &       1  &       1.174  &      1.083  &   0.332  &  0.577  &    0.357  &   0.598  &  0.023  &  0.153  \\
     ref+ain  &       1  &        1.16  &      1.077  &   0.207  &  0.455  &    0.178  &   0.422  &  0.029  &  0.171  \\
     ref+abr  &       1  &       1.222  &      1.105  &    0.18  &  0.424  &    0.122  &    0.35  &  0.032  &  0.178  \\
         rvw  &       1  &       1.188  &       1.09  &   0.188  &  0.434  &    0.266  &   0.516  &  0.012  &   0.11  \\
     rvw+fts  &       1  &       1.225  &      1.107  &   0.363  &  0.602  &    0.091  &   0.302  &   0.02  &   0.14  \\
     rvw+ain  &       1  &       1.305  &      1.142  &   0.207  &  0.454  &    0.048  &   0.218  &  0.012  &  0.111  \\
     rvw+abr  &       1  &     145.785  &     12.074  &   0.741  &  0.861  &    0.852  &   0.923  &  0.221  &   0.47  \\
\bottomrule
\end{tabular}
