\begin{tabular}{lllllll}
\toprule
            Model & Num Runs & Flight Time [s] & Travel Distance [m] & Mean Error [m] & Gates Passed & \% Collision \\
\midrule
     ref+rvw+fts  &      20  &     13.17 (0.0) &       136.23 (0.11) &    2.12 (0.04) &    9.0 (0.0) &        0.0  \\
 ref+rvw+fts+ain  &      20  &    13.17 (0.01) &       137.74 (0.15) &    2.06 (0.03) &  9.95 (0.22) &        0.0  \\
 ref+rvw+fts+abr  &      20  &     13.17 (0.0) &       136.72 (0.12) &     2.0 (0.03) &  8.35 (0.48) &        0.0  \\
         ref+fts  &      20  &      3.56 (1.9) &       36.44 (20.86) &    2.74 (0.71) &   1.55 (0.5) &      100.0  \\
     ref+fts+ain  &      20  &     4.41 (2.51) &       49.87 (31.76) &     3.5 (2.05) &  1.95 (0.86) &      100.0  \\
     ref+fts+abr  &      20  &     5.51 (1.88) &       58.11 (23.11) &    3.27 (0.97) &    2.3 (0.9) &      100.0  \\
         rvw+fts  &      20  &     13.17 (0.0) &       136.54 (0.24) &    2.15 (0.27) &  9.05 (0.22) &        0.0  \\
     rvw+fts+ain  &      20  &     13.11 (0.0) &       137.11 (0.29) &    2.52 (0.52) &   8.8 (0.68) &        0.0  \\
     rvw+fts+abr  &      20  &     13.17 (0.0) &       138.16 (0.23) &    2.36 (0.45) &  8.95 (0.74) &        0.0  \\
\bottomrule
\end{tabular}
