\begin{tabular}{lllllll}
\toprule
        Model & Num Runs & Flight Time [s] & Travel Distance [m] & Mean Error [m] & Gates Passed & \% Collision \\
\midrule
     ref+rvw  &      20  &     13.11 (0.0) &        136.26 (0.0) &     2.29 (0.0) &    8.0 (0.0) &        0.0  \\
 ref+rvw+fts  &      20  &     13.17 (0.0) &       136.23 (0.11) &    2.12 (0.04) &    9.0 (0.0) &        0.0  \\
 ref+rvw+ain  &      20  &     13.11 (0.0) &         138.0 (0.0) &     2.03 (0.0) &    9.0 (0.0) &        0.0  \\
 ref+rvw+abr  &      20  &     13.11 (0.0) &       137.26 (0.01) &     2.06 (0.0) &    9.0 (0.0) &        0.0  \\
         ref  &      20  &      2.76 (0.0) &         34.86 (0.0) &     2.18 (0.0) &    2.0 (0.0) &      100.0  \\
     ref+fts  &      20  &      3.56 (1.9) &       36.44 (20.86) &    2.74 (0.71) &   1.55 (0.5) &      100.0  \\
     ref+ain  &      20  &     1.21 (0.16) &         14.6 (2.84) &    2.24 (0.37) &    1.0 (0.0) &      100.0  \\
     ref+abr  &      20  &     3.33 (0.16) &        38.93 (0.52) &    2.44 (0.07) &    1.0 (0.0) &      100.0  \\
         rvw  &      20  &     13.17 (0.0) &        136.02 (0.0) &     2.16 (0.0) &    3.0 (0.0) &        0.0  \\
     rvw+fts  &      20  &     13.17 (0.0) &       136.54 (0.24) &    2.15 (0.27) &  9.05 (0.22) &        0.0  \\
     rvw+ain  &      20  &     13.11 (0.0) &       136.04 (0.05) &    2.59 (0.12) &    7.5 (0.5) &        0.0  \\
     rvw+abr  &      20  &     13.11 (0.0) &       137.48 (0.02) &    1.85 (0.04) &    7.0 (0.0) &        0.0  \\
\bottomrule
\end{tabular}
