time-since-start [s],throttle_mpc,roll_mpc,pitch_mpc,yaw_mpc,throttle_nw,roll_nw,pitch_nw,yaw_nw,position_x [m],position_y [m],position_z [m],rotation_w [quaternion],rotation_x [quaternion],rotation_y [quaternion],rotation_z [quaternion],velocity_x [m],velocity_y [m],velocity_z [m],omega_x [rad/s],omega_y [rad/s],omega_z [rad/s],network_used
0.0,6.489957196208946,-5.999999799539269,-5.999999933174533,4.018773310890997,173.09079,11.217972,-60.85221,18.219002,-0.3565825,1.8399144,2.322772,-0.2727708,0.4163314,-0.05168207,-0.86579055,-7.9229074,9.085356,0.40607595,0.0,0.0,0.0,0
0.01,6.489957196208946,-5.999999799539269,-5.999999933174533,4.018773310890997,173.09079,11.217972,-60.85221,18.219002,-0.43631727,1.930999,2.3268154,-0.27242047,0.41617742,-0.05154459,-0.8659831,-8.023792,9.131448,0.40235576,-0.09471594,-0.094730295,0.12201035,0
0.02,6.489957196208946,-5.999999799539269,-5.999999933174533,4.018773310890997,173.09079,11.217972,-60.85221,18.219002,-0.5170528,2.0225403,2.3308141,-0.2713684,0.4156965,-0.051090322,-0.8665712,-8.123069,9.176653,0.3972023,-0.1988644,-0.19892265,0.24019834,0
0.03,6.489957196208946,-5.999999799539269,-5.999999933174533,4.018773310890997,173.09079,11.217972,-60.85221,18.219002,-0.59877306,2.1145287,2.3347547,-0.26961377,0.41486174,-0.05026137,-0.8675668,-8.220723,9.220785,0.39069045,-0.31115627,-0.31128603,0.35476798,0
0.04,6.489957196208946,-5.999999799539269,-5.999999933174533,4.018773310890997,173.09079,11.217972,-60.85221,18.219002,-0.6814617,2.2069519,2.3386235,-0.26715615,0.4136484,-0.049007136,-0.868977,-8.316749,9.263655,0.38290164,-0.43043438,-0.4306607,0.46590698,0
0.05,7.519485017599641,-5.999999915621368,-5.999999977484499,3.982383472397621,173.09079,11.217972,-60.85221,18.219002,-0.76510245,2.2997966,2.3424084,-0.2639958,0.41203344,-0.04728359,-0.87080365,-8.411135,9.305073,0.37392193,-0.5556613,-0.5560057,0.5737884,0
0.060000000000000005,7.519485017599641,-5.999999915621368,-5.999999977484499,3.982383472397621,173.09079,11.217972,-60.85221,18.219002,-0.8497036,2.3930583,2.3461215,-0.2601003,0.40994418,-0.04495938,-0.87308204,-8.50882,9.346966,0.36853817,-0.71877646,-0.7192873,0.6797235,0
0.07,7.519485017599641,-5.999999915621368,-5.999999977484499,3.982383472397621,173.09079,11.217972,-60.85221,18.219002,-0.9352725,2.486729,2.349775,-0.2554393,0.40731245,-0.041918255,-0.87583685,-8.604662,9.386849,0.36202514,-0.8836024,-0.88429755,0.7828892,0
0.08,7.519485017599641,-5.999999915621368,-5.999999977484499,3.982383472397621,173.09079,11.217972,-60.85221,18.219002,-1.0217905,2.5807877,2.3533587,-0.25001618,0.40412295,-0.038146093,-0.87904567,-8.698652,9.424489,0.35450774,-1.049617,-1.0505099,0.88339853,0
0.09,7.519485017599641,-5.999999915621368,-5.999999977484499,3.982383472397621,173.09079,11.217972,-60.85221,18.219002,-1.1092391,2.6752102,2.3568625,-0.24383374,0.40035996,-0.0336319,-0.8826811,-8.790769,9.459663,0.3461026,-1.2163556,-1.2174559,0.98135686,0
0.09999999999999999,7.519485017599641,-5.999999915621368,-5.999999977484499,3.982383472397621,173.09079,11.217972,-60.85221,18.219002,-1.1975994,2.7699716,2.3602781,-0.23689438,0.39600712,-0.028367585,-0.88671005,-8.8809805,9.4921665,0.33691677,-1.3834053,-1.3847194,1.0768625,0
0.10999999999999999,8.854280517739241,-5.999999965611478,-5.999999999694958,3.625527967336059,173.09079,11.217972,-60.85221,18.219002,-1.286852,2.8650439,2.3635986,-0.22920024,0.39104766,-0.02234778,-0.89109457,-8.969244,9.521806,0.32704666,-1.5503999,-1.5519311,1.1700071,0
0.11999999999999998,8.854280517739241,-5.999999965611478,-5.999999999694958,3.625527967336059,11.589777,-0.062582776,-1.149637,-2.8723168,-1.3769951,2.960403,2.366835,-0.22069459,0.38531852,-0.015316017,-0.8958733,-9.059008,9.549468,0.32014602,-1.8028225,-1.8046894,1.2510368,1
0.12999999999999998,8.854280517739241,-5.999999965611478,-5.999999999694958,3.625527967336059,8.057998,1.4007343,-1.3457359,-4.0427985,-1.4681507,3.0560572,2.3701298,-0.21227704,0.37939075,-0.008061728,-0.90051997,-9.171585,9.580678,0.3385728,-1.6049047,-1.6290474,1.0944303,1
0.13999999999999999,8.854280517739241,-5.999999965611478,-5.999999999694958,3.625527967336059,13.305756,0.21251948,-0.12800838,-3.8951225,-1.5604595,3.1520135,2.3736484,-0.20498222,0.37412125,-0.00177252,-0.9044404,-9.289612,9.609947,0.36488292,-1.3400787,-1.3809552,0.92931706,1
0.15,8.854280517739241,-5.999999965611478,-5.999999999694958,3.625527967336059,10.797445,-0.37084746,-0.33312428,-4.313442,-1.6540056,3.24826,2.3775015,-0.19890352,0.36959982,0.0035016024,-0.9076459,-9.419005,9.6388,0.4053906,-1.1154876,-1.1680225,0.74728006,1
0.16,10.240143414927852,-5.999999995133401,-6.0,3.150333608657308,12.185737,0.3809027,-0.15683343,-4.5573893,-1.7488211,3.3447762,2.3817432,-0.19394656,0.36561915,0.00815019,-0.9102971,-9.543507,9.66393,0.44254574,-0.98836714,-1.0488181,0.571183,1
0.17,10.240143414927852,-5.999999995133401,-6.0,3.150333608657308,13.605693,-1.3450822,1.6715503,-3.6437929,-1.8449074,3.4415367,2.386393,-0.19008525,0.3621308,0.012285695,-0.91245705,-9.67314,9.687704,0.4870631,-0.8095661,-0.87498343,0.3868791,1
0.18000000000000002,10.240143414927852,-5.999999995133401,-6.0,3.150333608657308,12.557683,0.018196419,1.7768533,-2.9760659,-1.9422147,3.5385118,2.3914127,-0.18732473,0.35920763,0.015812349,-0.9141276,-9.787802,9.706949,0.516493,-0.65145934,-0.71947926,0.223091,1
0.19000000000000003,10.240143414927852,-5.999999995133401,-6.0,3.150333608657308,17.017872,-0.012528822,1.9884255,-1.5937086,-2.040577,3.6356573,2.39663,-0.18563193,0.35699716,0.018488623,-0.91528785,-9.884207,9.72193,0.52658564,-0.4041024,-0.47310814,0.084823534,1
